Reporter,Partner,Product categories,Indicator Type,Indicator,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988
,France,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,      5.36,,,      5.60,      6.25,      7.05,      7.19,      6.88,      7.47,      7.95,      8.86,      9.60,      9.54,      9.03,      9.73,     11.92,     11.75,     10.35,      6.77,,,
,Germany,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,      3.07,,,,,,,,,,
,Germany,All Products,Import,Partner share(%)-Top 5 Import Partner,              4.98,              5.38,              5.91,      5.71,      5.33,      5.19,      5.45,      5.34,      6.02,      6.24,      6.02,      6.47,      5.93,      7.16,      6.99,      7.34,      7.91,      7.70,      7.64,      8.04,      8.36,      9.25,      8.28,      8.61,      8.45,,      8.20,      8.26,      4.85,      5.49,
,India,All Products,Export,Partner share(%)-Top 5 Export Partner,              2.99,              3.55,              3.42,      3.29,      3.16,      3.06,      4.04,      4.19,      4.32,      3.76,,,,,,,,,,,,,,,,,,,,,
,India,All Products,Import,Partner share(%)-Top 5 Import Partner,              5.40,,              4.47,      4.19,,      4.71,      5.15,      5.69,      5.26,,,,,,,,,,,,,,,,,,,,,,
,"Iran, Islamic Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      0.32,,
,Italy,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,      3.44,      3.29,      4.36,      4.28,      3.47,      3.88,      4.12,      5.39,      6.23,      6.79,      3.97,,      4.43,      9.18,,      6.38,      6.91,,,,,,
,Italy,All Products,Import,Partner share(%)-Top 5 Import Partner,,              5.21,,,,,,,,,,,,,,      5.59,      6.01,      6.64,      6.17,      6.76,      7.63,      8.46,      7.73,      7.51,      7.69,      7.23,,,,,
,Japan,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,      3.22,      3.13,      3.25,,,,      6.46,      8.29,      9.84,     10.89,      7.57,      7.85,      7.40,      5.63,      4.26,      9.92,,      7.52,      7.83,      9.51,     10.49,,,,,     34.61,
,Japan,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,      5.81,      5.81,,,,,,      5.67,      6.08,,,,,,      7.07,      9.62,     11.83,     12.85,     16.98,     15.70,
,"Korea, Rep.",All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,     28.79,
,Monaco,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,     13.61,     14.22,     16.92,,,
,"Other Asia, nes",All Products,Export,Partner share(%)-Top 5 Export Partner,,              4.95,             13.62,     11.18,     17.20,     17.78,     24.72,     26.68,     24.45,     22.41,     21.17,     18.40,     20.01,     19.84,     17.47,     15.95,     14.80,     14.26,     16.18,     15.48,,,,,,     22.61,     23.74,     26.78,,      8.62,
,Saudi Arabia,All Products,Export,Partner share(%)-Top 5 Export Partner,              2.78,,,      2.56,,,,,,,,,,,,,,,,,,,,,,,,,      0.61,,
,Special Categories,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,     23.43,     21.27,     26.77,,,,,,
,United Arab Emirates,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      3.88,      5.41,
,United Arab Emirates,All Products,Import,Partner share(%)-Top 5 Import Partner,              4.27,,,,      4.54,,,,,,,,,,,,,,,,,,,,,,,,     23.19,     24.21,
,United Kingdom,All Products,Export,Partner share(%)-Top 5 Export Partner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,      0.50,,
,United Kingdom,All Products,Import,Partner share(%)-Top 5 Import Partner,,,,,,,,,,,,,,,,,,,,      6.05,      5.86,      5.51,      6.73,      6.39,,      7.38,      7.90,      9.64,     11.50,     11.66,
